year,month,day,sazae_hand
1996,1,7,scissors
1996,1,14,rock
1996,1,21,rock
1996,1,28,paper
1996,2,4,scissors
1996,2,11,paper
1996,2,18,paper
1996,2,25,rock
1996,3,3,scissors
1996,3,10,scissors
1996,3,17,rock
1996,3,24,paper
1996,3,31,rock
1996,4,7,scissors
1996,4,14,paper
1996,4,21,paper
1996,4,28,scissors
1996,5,5,rock
1996,5,12,rock
1996,5,19,scissors
1996,5,26,paper
1996,6,2,scissors
1996,6,9,paper
1996,6,16,rock
1996,6,23,scissors
1996,6,30,rock
1996,7,7,scissors
1996,7,14,scissors
1996,7,21,paper
1996,7,28,rock
1996,8,4,paper
1996,8,11,paper
1996,8,18,scissors
1996,8,25,scissors
1996,9,1,rock
1996,9,8,paper
1996,9,15,rock
1996,9,22,rock
1996,9,29,scissors
1996,10,13,paper
1996,10,27,scissors
1996,11,3,rock
1996,11,10,rock
1996,11,17,paper
1996,11,24,scissors
1996,12,1,paper
1996,12,8,paper
1996,12,15,rock
1996,12,22,rock
1996,12,29,scissors
1997,1,5,scissors
1997,1,12,rock
1997,1,19,paper
1997,1,26,scissors
1997,2,2,paper
1997,2,9,rock
1997,2,16,paper
1997,2,23,scissors
1997,3,2,rock
1997,3,9,scissors
1997,3,16,rock
1997,3,23,paper
1997,3,30,paper
1997,4,6,scissors
1997,4,13,rock
1997,4,20,scissors
1997,4,27,paper
1997,5,4,paper
1997,5,11,rock
1997,5,18,scissors
1997,5,25,paper
1997,6,1,scissors
1997,6,8,rock
1997,6,15,rock
1997,6,22,paper
1997,6,29,scissors
1997,7,6,scissors
1997,7,13,rock
1997,7,20,paper
1997,8,3,rock
1997,8,10,scissors
1997,8,17,rock
1997,8,24,paper
1997,8,31,paper
1997,9,7,scissors
1997,9,14,rock
1997,9,21,scissors
1997,9,28,paper
1997,10,5,scissors
1997,10,12,scissors
1997,10,19,rock
1997,10,26,paper
1997,11,2,scissors
1997,11,9,rock
1997,11,16,scissors
1997,11,23,paper
1997,11,30,rock
1997,12,7,rock
1997,12,14,paper
1997,12,21,scissors
1997,12,28,paper
1998,1,4,scissors
1998,1,11,rock
1998,1,18,paper
1998,1,25,paper
1998,2,1,rock
1998,2,8,scissors
1998,2,15,scissors
1998,2,22,rock
1998,3,1,paper
1998,3,8,paper
1998,3,15,scissors
1998,3,22,rock
1998,3,29,paper
1998,4,5,scissors
1998,4,12,scissors
1998,4,19,rock
1998,4,26,paper
1998,5,3,scissors
1998,5,10,paper
1998,5,17,rock
1998,5,24,rock
1998,5,31,scissors
1998,6,7,paper
1998,6,14,scissors
1998,6,21,rock
1998,6,28,paper
1998,7,5,scissors
1998,7,12,paper
1998,7,19,scissors
1998,7,26,rock
1998,8,2,rock
1998,8,9,paper
1998,8,16,scissors
1998,8,23,paper
1998,8,30,rock
1998,9,6,scissors
1998,9,13,paper
1998,9,20,paper
1998,9,27,scissors
1998,10,4,scissors
1998,10,11,rock
1998,10,18,paper
1998,10,25,scissors
1998,11,1,paper
1998,11,8,rock
1998,11,15,rock
1998,11,22,scissors
1998,11,29,paper
1998,12,6,scissors
1998,12,13,paper
1998,12,20,rock
1998,12,27,paper
1999,1,10,scissors
1999,1,17,scissors
1999,1,24,rock
1999,1,31,paper
1999,2,7,rock
